a_1,a_2,a_3,a_4,b,y,He_Density
-204.3796924,251.8788276,-120.5870003,22.21375552,3.304077938,0.395959531,0.09207
-204.3782831,251.8770908,-120.5861688,22.21360234,3.304055155,0.396054461,0.09207
-204.3768745,251.8753548,-120.5853377,22.21344924,3.304032383,0.39614934,0.09207
-204.3754666,251.8736196,-120.584507,22.21329621,3.304009622,0.396244168,0.09207
-204.3740593,251.8718854,-120.5836767,22.21314326,3.303986871,0.396338944,0.09207
-204.3726528,251.8701519,-120.5828468,22.21299039,3.303964133,0.396433669,0.09207
-204.3712469,251.8684193,-120.5820173,22.21283758,3.303941405,0.396528343,0.09207
-204.3698417,251.8666876,-120.5811882,22.21268486,3.303918688,0.396622966,0.09207
-204.3684372,251.8649567,-120.5803596,22.21253221,3.303895983,0.396717538,0.09207
-204.3670334,251.8632266,-120.5795313,22.21237963,3.303873289,0.396812058,0.09207
-204.3656303,251.8614974,-120.5787034,22.21222713,3.303850605,0.396906528,0.09207
-204.3642279,251.8597691,-120.577876,22.2120747,3.303827934,0.397000947,0.09207
-204.3628262,251.8580416,-120.577049,22.21192235,3.303805273,0.397095314,0.09208
-204.3614252,251.856315,-120.5762223,22.21177008,3.303782623,0.397189631,0.09208
-204.3600249,251.8545892,-120.5753961,22.21161788,3.303759985,0.397283896,0.09208
-204.3586252,251.8528643,-120.5745703,22.21146575,3.303737358,0.397378111,0.09208
-204.3572263,251.8511402,-120.5737449,22.2113137,3.303714743,0.397472275,0.09208
-204.3558281,251.849417,-120.57292,22.21116173,3.303692138,0.397566388,0.09208
-204.3544305,251.8476947,-120.5720954,22.21100983,3.303669545,0.39766045,0.09208
-204.3530337,251.8459732,-120.5712712,22.21085801,3.303646963,0.397754461,0.09208
-204.3516375,251.8442526,-120.5704475,22.21070627,3.303624392,0.397848422,0.09208
-204.3502421,251.8425328,-120.5696241,22.2105546,3.303601833,0.397942332,0.09208
-204.3488473,251.8408139,-120.5688012,22.21040301,3.303579285,0.398036191,0.09208
-204.3474533,251.8390959,-120.5679787,22.21025149,3.303556749,0.398129999,0.09208
-204.3460599,251.8373787,-120.5671566,22.21010005,3.303534223,0.398223757,0.09208
-204.3446673,251.8356624,-120.5663349,22.20994868,3.303511709,0.398317464,0.09208
-204.3432754,251.833947,-120.5655137,22.2097974,3.303489207,0.39841112,0.09208
-204.3418841,251.8322324,-120.5646928,22.20964618,3.303466715,0.398504726,0.09208
-204.3404936,251.8305187,-120.5638724,22.20949505,3.303444235,0.398598281,0.09209
-204.3391038,251.8288059,-120.5630524,22.20934399,3.303421767,0.398691786,0.09209
-204.3377146,251.8270939,-120.5622328,22.20919301,3.30339931,0.398785241,0.09209
-204.3363262,251.8253828,-120.5614136,22.2090421,3.303376864,0.398878644,0.09209
-204.3349385,251.8236726,-120.5605948,22.20889127,3.30335443,0.398971998,0.09209
-204.3335515,251.8219632,-120.5597765,22.20874052,3.303332007,0.399065301,0.09209
-204.3321652,251.8202548,-120.5589585,22.20858985,3.303309595,0.399158553,0.09209
-204.3307796,251.8185471,-120.558141,22.20843925,3.303287195,0.399251755,0.09209
-204.3293947,251.8168404,-120.5573239,22.20828873,3.303264807,0.399344907,0.09209
-204.3280105,251.8151345,-120.5565072,22.20813828,3.30324243,0.399438009,0.09209
-204.3266271,251.8134295,-120.5556909,22.20798792,3.303220064,0.39953106,0.09209
-204.3252443,251.8117254,-120.5548751,22.20783763,3.30319771,0.399624061,0.09209
-204.3238623,251.8100222,-120.5540597,22.20768741,3.303175367,0.399717011,0.09209
-204.3224809,251.8083198,-120.5532447,22.20753728,3.303153036,0.399809912,0.09209
-204.3211003,251.8066183,-120.5524301,22.20738722,3.303130717,0.399902762,0.09209
-204.3197204,251.8049177,-120.5516159,22.20723724,3.303108409,0.399995563,0.09209
-204.3183412,251.803218,-120.5508022,22.20708734,3.303086112,0.400088313,0.0921
-204.3169627,251.8015192,-120.5499888,22.20693751,3.303063827,0.400181013,0.0921
-204.315585,251.7998212,-120.5491759,22.20678776,3.303041554,0.400273663,0.0921
