Tag_Number,Instrument,Axial_Location,Radial_Azimuthal_Location,RELAP5_Model_Parameters,,,,,Total_Uncertainty,,Lower,Units
TS-1012,Thermocouple,Upper Reflector #2,"Primary Sector, #18",htvat-1660001,,,,,,,,
GC-1001,GCI,Upper Reflector #2,"Primary Sector, #11",quala-150010000,,,,,,,,
,,,,,,,,,,,,
TF-2405,Thermocouple,Lower Plenum,"Post 43, gas inlet",tempg-145140000,,,,,,,,
TF-2305,Thermocouple,Lower Plenum,"Post 43, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2205,Thermocouple,Lower Plenum,"Post 43, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2105,Thermocouple,Lower Plenum,"Post 43, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2402,Thermocouple,Lower Plenum,"Post 16, gas inlet",tempg-150140000,,,,,,,,
TF-2302,Thermocouple,Lower Plenum,"Post 16, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2202,Thermocouple,Lower Plenum,"Post 16, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2102,Thermocouple,Lower Plenum,"Post 16, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2403,Thermocouple,Lower Plenum,"Post 30, gas inlet",tempg-145140000,,,,,,,,
TF-2303,Thermocouple,Lower Plenum,"Post 30, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2203,Thermocouple,Lower Plenum,"Post 30, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2103,Thermocouple,Lower Plenum,"Post 30, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2406,Thermocouple,Lower Plenum,"Post 46, gas inlet",tempg-145140000,,,,,,,,
TF-2306,Thermocouple,Lower Plenum,"Post 46, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2206,Thermocouple,Lower Plenum,"Post 46, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2106,Thermocouple,Lower Plenum,"Post 46, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2404,Thermocouple,Lower Plenum,"Post 32, gas inlet",tempg-150140000,,,,,,,,
TF-2304,Thermocouple,Lower Plenum,"Post 32, upper",tempg-183040000,tempg-175010000 (183040000),,,,,,,
TF-2204,Thermocouple,Lower Plenum,"Post 32, lower",tempg-183020000,tempg-175010000 (183020000),,,,,,,
TS-2104,Thermocouple,Lower Plenum,"Post 32, floor","httemp-175000101, tempg-183010000","httemp-175000101, tempg-175010000 (183010000)",,,,,,,
TF-2407,Thermocouple,Lower Plenum,"Post 62, gas inlet",tempg-150140000,,,,,,,,
